"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 02, 2017","117.81","119.19","119.19","117.81","-","-1.63%"
"Mar 01, 2017","119.76","119.76","119.76","119.76","-","-1.03%"
"Feb 28, 2017","121.01","121.01","121.01","121.01","-","-0.48%"
"Feb 27, 2017","121.59","121.59","121.59","121.59","-","0.52%"
"Feb 24, 2017","120.96","120.96","120.96","120.96","-","0.00%"
"Feb 23, 2017","120.96","120.15","120.96","120.15","-","1.84%"
"Feb 22, 2017","118.78","118.78","118.78","118.78","-","-0.24%"
"Feb 21, 2017","119.07","119.07","119.07","119.07","-","-0.12%"
"Feb 20, 2017","119.21","119.21","119.21","119.21","-","-0.07%"
"Feb 17, 2017","119.29","119.29","119.29","119.29","-","0.00%"
"Feb 16, 2017","119.29","119.50","119.50","119.29","-","0.77%"
"Feb 15, 2017","118.38","118.38","118.38","118.38","-","0.26%"
"Feb 14, 2017","118.07","118.07","118.07","118.07","-","0.23%"
"Feb 13, 2017","117.80","117.80","117.80","117.80","-","-0.87%"
"Feb 10, 2017","118.83","118.83","118.83","118.83","-","-0.03%"
"Feb 09, 2017","118.87","118.87","118.87","118.87","-","-0.60%"
"Feb 08, 2017","119.59","119.59","119.59","119.59","-","0.60%"
"Feb 07, 2017","118.88","118.88","118.88","118.88","-","0.42%"
"Feb 06, 2017","118.38","118.38","118.38","118.38","-","0.75%"
"Feb 03, 2017","117.50","117.50","117.50","117.50","-","0.00%"
"Feb 02, 2017","117.50","117.32","117.50","117.32","-","1.31%"
"Feb 01, 2017","115.98","115.98","115.98","115.98","-","-0.70%"
"Jan 31, 2017","116.80","116.80","116.80","116.80","-","1.22%"
"Jan 30, 2017","115.39","115.39","115.39","115.39","-","0.71%"
"Jan 27, 2017","114.58","114.58","114.58","114.58","-","0.00%"
"Jan 26, 2017","114.58","114.43","114.58","114.43","-","-0.79%"
"Jan 25, 2017","115.49","115.49","115.49","115.49","-","-1.20%"
"Jan 24, 2017","116.89","116.89","116.89","116.89","-","-0.38%"
"Jan 23, 2017","117.33","117.33","117.33","117.33","-","1.10%"
"Jan 20, 2017","116.05","116.05","116.05","116.05","-","0.00%"
"Jan 19, 2017","116.05","115.78","116.05","115.78","-","-0.84%"
"Jan 18, 2017","117.03","117.03","117.03","117.03","-","-0.08%"
"Jan 17, 2017","117.12","117.12","117.12","117.12","-","0.97%"
"Jan 16, 2017","116.00","116.00","116.00","116.00","-","0.76%"
"Jan 13, 2017","115.12","115.12","115.12","115.12","-","0.00%"
"Jan 12, 2017","115.12","115.93","115.93","115.12","-","0.54%"
"Jan 11, 2017","114.50","114.50","114.50","114.50","-","-0.05%"
"Jan 10, 2017","114.56","114.56","114.56","114.56","-","0.45%"
"Jan 09, 2017","114.05","114.05","114.05","114.05","-","0.84%"
"Jan 06, 2017","113.10","113.10","113.10","113.10","-","-0.99%"
